baserent,balcony,noparkspaces,haskitchen,cellar,livingspace,petsallowed,geo_krs,lift,norooms,floor,garden,energyefficiencyclass
550.0,False,1.0,False,False,80.0,no,Celle_Kreis,False,3.0,1.0,False,A
1250.0,True,1.0,False,True,79.58,negotiable,Ludwigsburg_Kreis,True,3.0,2.0,False,C
1480.0,True,1.0,True,False,106.84,negotiable,Berlin,False,4.0,3.0,False,B
1419.0,True,1.0,False,True,117.69,negotiable,Bochum,True,3.0,0.0,True,A_PLUS
1300.0,True,1.0,False,True,132.0,negotiable,Rheinisch_Bergischer_Kreis,True,4.0,2.0,False,A_PLUS
1350.0,True,2.0,False,True,87.0,no,M?nchen_Kreis,False,3.0,1.0,False,A
1300.0,True,1.0,False,True,94.0,negotiable,Rhein_Erft_Kreis,True,3.0,3.0,False,A
980.0,True,1.0,False,True,81.0,no,Gro?_Gerau_Kreis,False,3.0,1.0,True,A
1596.0,True,1.0,True,True,113.99,negotiable,Mannheim,True,3.0,5.0,False,B
900.0,True,1.0,False,True,74.21,no,N?rnberg,True,3.0,1.0,False,C
1192.75,True,1.0,True,True,91.75,negotiable,Hannover_Kreis,True,4.0,1.0,False,B
1680.0,True,1.0,False,True,95.4,no,M?nchen,False,3.0,2.0,False,A
929.5,True,1.0,True,True,71.5,negotiable,Hamburg,True,2.0,0.0,False,A
520.0,True,1.0,False,True,57.7,no,Recklinghausen_Kreis,True,2.0,2.0,False,A
590.0,True,1.0,False,True,65.54,negotiable,Kleve_Kreis,True,2.0,2.0,False,A_PLUS
1404.0,True,1.0,False,True,81.52,negotiable,Berlin,True,3.0,0.0,True,A
769.0,True,1.0,True,True,76.88,no,Stade_Kreis,True,2.5,3.0,False,A_PLUS
1750.0,True,1.0,False,True,144.0,negotiable,Darmstadt_Dieburg_Kreis,True,4.0,2.0,False,A_PLUS
1230.0,True,1.0,True,False,115.18,negotiable,Leipzig,True,4.0,2.0,False,B
845.0,True,1.0,False,True,67.0,negotiable,Potsdam_Mittelmark_Kreis,True,2.0,0.0,True,A
325.0,True,1.0,False,False,36.0,no,Steinfurt_Kreis,True,2.0,0.0,True,A_PLUS
